,MUNICIPALITY_NAME,geometry
320,CIGOGNOLA,POINT (9.2480645 45.0390517)
321,FARA OLIVANA CON SOLA,POINT (9.7346799 45.4910213)
322,ALAGNA,POINT (8.8921526 45.1655328)
323,BUBBIANO,POINT (9.0056116 45.3288345)
324,ARENA PO,POINT (9.3857662 45.0841537)
325,MORTARA,POINT (8.7438691 45.2469628)
326,COVO,POINT (9.7874231 45.5026222)
327,SETTIMO MILANESE,POINT (9.054884 45.483485)
328,CARBONARA AL TICINO,POINT (9.0824911 45.1738189)
329,GOLFERENZO,POINT (9.3062025 44.9613872)
330,SILVANO PIETRA,POINT (8.9469504 45.0565693)
331,MONTEBELLO DELLA BATTAGLIA,POINT (9.0976459 45.0052915)
332,SEMIANA,POINT (8.7285455 45.140744)
333,ORIGGIO,POINT (9.0071357 45.592387)
334,VAILATE,POINT (9.6011973 45.4572663)
335,GESSATE,POINT (9.4307773 45.5575809)
336,TAVAZZANO CON VILLAVESCO,POINT (9.410312 45.3339663)
337,CASTANO PRIMO,POINT (8.7604284 45.548296)
338,CECIMA,POINT (9.0726903 44.8412549)
339,PANCARANA,POINT (9.0481089 45.0810505)
340,CHIARI,POINT (9.9173561 45.5272482)
341,TROVO,POINT (9.041438 45.2885593)
342,CASALETTO DI SOPRA,POINT (9.792812 45.4141451)
343,LOMELLO,POINT (8.7925924 45.1209784)
344,OTTOBIANO,POINT (8.8251469 45.1599014)
345,ZECCONE,POINT (9.190081 45.2600074)
346,MALEO,POINT (9.766196 45.1648384)
347,TURBIGO,POINT (8.7366307 45.5258259)
348,BAREGGIO,POINT (8.9983944 45.4779884)
349,FILIGHERA,POINT (9.3172205 45.177238)
350,COPIANO,POINT (9.3340683 45.194384)
351,CAVENAGO DI BRIANZA,POINT (9.4206211 45.5840018)
352,CASELLE LURANI,POINT (9.3613434 45.2724221)
353,VERMEZZO CON ZELO,POINT (8.9815036 45.3908596)
354,SENNA LODIGIANA,POINT (9.5947007 45.1358169)
355,CASTELLETTO DI BRANDUZZO,POINT (9.0949777 45.0717651)
356,CASATISMA,POINT (9.1223355 45.053877)
357,SAN COLOMBANO AL LAMBRO,POINT (9.4848876 45.1817321)
358,SPINO D'ADDA,POINT (9.4836339 45.3930566)
359,ROCCA DE' GIORGI,POINT (9.252323 44.9542528)
360,ROBECCO PAVESE,POINT (9.1508595 45.0526307)
361,COLOGNO AL SERIO,POINT (9.7110572 45.5751092)
362,CASELLE LANDI,POINT (9.8077163 45.0912984)
363,SESTO SAN GIOVANNI,POINT (9.2393357 45.5370537)
364,SORESINA,POINT (9.8485577 45.2916016)
365,SALERANO SUL LAMBRO,POINT (9.385971 45.2906587)
366,MARUDO,POINT (9.3740835 45.2558261)
367,CILAVEGNA,POINT (8.7542025 45.3114305)
368,CASSINA DE PECCHI,POINT (9.376846 45.5149194)
369,VANZAGHELLO,POINT (8.7777189 45.5835654)
370,GROPELLO CAIROLI,POINT (8.9945785 45.1732988)
371,VITTUONE,POINT (8.9567408 45.4774556)
372,CHIEVE,POINT (9.6134756 45.3371018)
373,CONCOREZZO,POINT (9.3347104 45.5913105)
374,CUSAGO,POINT (9.0283316 45.4476777)
375,CASTELVERDE,POINT (9.9939723 45.2010107)
376,BATTUDA,POINT (9.0636473 45.2717483)
377,MONTE CREMASCO,POINT (9.5698155 45.3748434)
378,DAIRAGO,POINT (8.8527692 45.5632769)
379,TRAVACO' SICCOMARIO,POINT (9.1776414 45.1475639)
380,SOMMO,POINT (9.0826172 45.1237213)
381,ABBIATEGRASSO,POINT (8.9016879 45.3700246)
382,ANNICCO,POINT (9.8844629 45.2519152)
383,GUDO VISCONTI,POINT (8.9912959 45.3821978)
384,OPERA,POINT (9.2096343 45.3794236)
385,MISANO DI GERA D'ADDA,POINT (9.6290211 45.4675019)
386,BORNASCO,POINT (9.2080654 45.267382)
387,LINAROLO,POINT (9.2555211 45.1478164)
388,RHO,POINT (9.0514282 45.5310434)
389,BARBIANELLO,POINT (9.208017 45.0785354)
390,TREZZANO SUL NAVIGLIO,POINT (9.0571327 45.4218941)
391,GARLASCO,POINT (8.9344764 45.2057786)
392,MOSCAZZANO,POINT (9.6780725 45.2930373)
393,CASALETTO VAPRIO,POINT (9.6421982 45.4102434)
394,OFFANENGO,POINT (9.7500358 45.3866629)
395,BRUGHERIO,POINT (9.2966825 45.5541319)
396,OLIVA GESSI,POINT (9.1854404 45.0009472)
397,VARZI,POINT (9.2186449 44.8044431)
398,SEGRATE,POINT (9.2858815 45.4827591)
399,MAIRAGO,POINT (9.5870621 45.2543424)
400,OSSAGO LODIGIANO,POINT (9.5378806 45.2432821)
401,RIPALTA ARPINA,POINT (9.7201201 45.2880274)
402,NOVA MILANESE,POINT (9.1938545 45.5893516)
403,MORNICO AL SERIO,POINT (9.8029067 45.584532)
404,MEZZANINO,POINT (9.2049228 45.1246017)
405,GOMBITO,POINT (9.736955 45.2541918)
406,VELEZZO LOMELLINA,POINT (8.7369967 45.1576761)
407,ERBUSCO,POINT (9.9594344 45.5937107)
408,BORGARELLO,POINT (9.151095 45.2406496)
409,CAPERGNANICA,POINT (9.6459769 45.3310726)
410,CUGGIONO,POINT (8.7953903 45.5070459)
411,OLEVANO DI LOMELLINA,POINT (8.7189309 45.2049313)
412,SARTIRANA LOMELLINA,POINT (8.6627493 45.1062112)
413,VILLACHIARA,POINT (9.9157766 45.3562927)
414,BINASCO,POINT (9.1038591 45.3304226)
415,CASTELCOVATI,POINT (9.9436996 45.4987693)
416,VAREDO,POINT (9.1655928 45.5987232)
417,RONCARO,POINT (9.2698144 45.2288971)
418,BELGIOIOSO,POINT (9.3120849 45.1394088)
419,CAMPAGNOLA CREMASCA,POINT (9.6712366 45.4022224)
420,GAGGIANO,POINT (9.0210123 45.3967623)
421,RIVANAZZANO TERME,POINT (9.0230999 44.9339775)
422,CASTREZZATO,POINT (9.980548 45.509607)
423,ROVESCALA,POINT (9.3470642 45.0104902)
424,TERRANOVA DEI PASSERINI,POINT (9.676214 45.2041446)
425,POGLIANO MILANESE,POINT (8.990315 45.5366847)
426,MIRADOLO TERME,POINT (9.447724 45.1798629)
427,PONTOGLIO,POINT (9.8579085 45.5632047)
428,TORLINO VIMERCATI,POINT (9.5948664 45.4270856)
429,SAN GIORGIO DI LOMELLINA,POINT (8.7808896 45.1751755)
430,CANNETO PAVESE,POINT (9.2849809 45.0482141)
431,COZZO,POINT (8.616945 45.2072228)
432,ARLUNO,POINT (8.9488986 45.5070139)
433,SANT'ANGELO LODIGIANO,POINT (9.4016668 45.2297961)
434,CASALE CREMASCO - VIDOLASCO,POINT (9.7160699 45.43706)
435,SANTA GIULETTA,POINT (9.190665 45.0381417)
436,MEDIGLIA,POINT (9.3415786 45.4107476)
437,OSSONA,POINT (8.8939444 45.5038136)
438,BASTIDA PANCARANA,POINT (9.0885416 45.0981833)
439,CASANOVA LONATI,POINT (9.2158232 45.0950308)
440,CODEVILLA,POINT (9.057735 44.9664021)
441,NERVIANO,POINT (8.979052 45.5492438)
442,CODOGNO,POINT (9.6942845 45.1667183)
443,CAMBIAGO,POINT (9.4208655 45.5719022)
444,CANEGRATE,POINT (8.9256941 45.5670721)
445,CASARILE,POINT (9.1017709 45.3146272)
446,CORNOVECCHIO,POINT (9.8072223 45.1451429)
447,CORNALE E BASTIDA,POINT (8.911636 45.0625594)
448,PIZZALE,POINT (9.053126 45.0467924)
449,CALVIGNASCO,POINT (9.0248768 45.3256802)
450,CERVESINA,POINT (9.0132395 45.0625993)
451,MONTU' BECCARIA,POINT (9.3300323 45.0313957)
452,LUNGAVILLA,POINT (9.0816576 45.0350564)
453,ASSAGO,POINT (9.1368 45.3992997)
454,SAN MARTINO IN STRADA,POINT (9.5361015 45.2770077)
455,GUARDAMIGLIO,POINT (9.6684858 45.1105802)
456,CARONNO PERTUSELLA,POINT (9.0455797 45.5944834)
457,COLOGNO MONZESE,POINT (9.2841671 45.5330385)
458,LARDIRAGO,POINT (9.2519704 45.2396523)
459,CORNAREDO,POINT (9.0247002 45.4882025)
460,VIGNATE,POINT (9.3774697 45.4951167)
461,ROMANENGO,POINT (9.7901394 45.3840528)
462,CASALMAIOCCO,POINT (9.3718615 45.3585716)
463,TRIVOLZIO,POINT (9.0468353 45.2621994)
464,POMPIANO,POINT (9.9964149 45.4191888)
465,MULAZZANO,POINT (9.4067 45.3686718)
466,ORIO LITTA,POINT (9.5515393 45.1544711)
467,BORDOLANO,POINT (9.9807459 45.2917346)
468,VILLANTERIO,POINT (9.3613048 45.2272114)
469,TRIBIANO,POINT (9.3729617 45.4047259)
470,VALLE LOMELLINA,POINT (8.6711863 45.1555438)
471,SAN CIPRIANO PO,POINT (9.2831756 45.1110247)
472,LANGOSCO,POINT (8.5586611 45.2158517)
473,NOVIGLIO,POINT (9.0680642 45.3634662)
474,CALCIO,POINT (9.8453989 45.5033115)
475,PINAROLO PO,POINT (9.17128 45.0789132)
476,CORANA,POINT (8.9634298 45.067433)
477,LEGNANO,POINT (8.9059818 45.595806)
478,CASTEL GABBIANO,POINT (9.7175858 45.4702316)
479,ARZAGO D'ADDA,POINT (9.5656935 45.4740048)
480,CASTIRAGA VIDARDO,POINT (9.3977549 45.2644801)
481,VILLA CORTESE,POINT (8.8866559 45.56806)
