MUNICIPALITY_NAME,geometry
CAPRIATE SAN GERVASIO,POINT (9.5312873 45.6091407)
ACQUAFREDDA,POINT (10.4079835 45.304737)
BELLAGIO,POINT (9.2463413 45.9578619)
APRICA,POINT (10.1402101 46.1268111)
MAGNAGO,POINT (8.8094779 45.5810186)
CASALMAGGIORE,POINT (10.4891223 44.9905993)
VALDISOTTO,POINT (10.3498785 46.4225973)
PIANELLO DEL LARIO,POINT (9.2550077 46.1027496)
DAZIO,POINT (9.6141625 46.1586913)
CORTENO GOLGI,POINT (10.2291225 46.1359402)
SALA COMACINA,POINT (9.1556358 45.9715779)
TREZZANO ROSA,POINT (9.4838797 45.5837926)
SAN ZENO NAVIGLIO,POINT (10.2142769 45.4866531)
OGGIONA CON SANTO STEFANO,POINT (8.8186074 45.69942)
PUMENENGO,POINT (9.8626506 45.4713074)
ROMANO DI LOMBARDIA,POINT (9.7593324 45.5230821)
SULBIATE,POINT (9.4249267 45.6373954)
GALGAGNANO,POINT (9.4572397 45.3570659)
CURA CARPIGNANO,POINT (9.2530755 45.2048496)
PREMOLO,POINT (9.8500593 45.8970903)
PEDESINA,POINT (9.5254171 46.0780618)
ADRO,POINT (9.968176 45.6221899)
MAGHERNO,POINT (9.3296885 45.21848)
GUSSAGO,POINT (10.1508578 45.5911964)
PIUBEGA,POINT (10.5256929 45.217209)
CORZANO,POINT (10.021063 45.4376961)
CASTELLO D'AGOGNA,POINT (8.6859324 45.235686)
TORRE BOLDONE,POINT (9.703214 45.7224661)
SAN GIORGIO SU LEGNANO,POINT (8.9097156 45.5692604)
VERCANA,POINT (9.3386646 46.1922024)
PONTE NIZZA,POINT (9.1208704 44.8529834)
VALLEVE,POINT (9.7251174 46.0392133)
MELZO,POINT (9.4238684 45.498812)
MONTICELLO BRIANZA,POINT (9.3092496 45.7139753)
COMEZZANO - CIZZAGO,POINT (9.9513576 45.4649596)
GOLASECCA,POINT (8.6648962 45.697322)
CREMOSANO,POINT (9.6470114 45.3892687)
NUVOLERA,POINT (10.3674037 45.5381855)
POGNANO,POINT (9.6385012 45.5837358)
SOLTO COLLINA,POINT (10.0293227 45.7823601)
SANNAZZARO DE' BURGONDI,POINT (8.9146071 45.0939895)
SALO',POINT (10.5561548 45.6135033)
PARLASCO,POINT (9.344864 46.0141838)
CASTIONE ANDEVENNO,POINT (9.8065956 46.1870576)
BELLUSCO,POINT (9.4223533 45.6144594)
GHISALBA,POINT (9.7638376 45.5942537)
VIGOLO,POINT (10.0143577 45.7212516)
BOVISIO MASCIAGO,POINT (9.1431527 45.6133817)
AZZANO MELLA,POINT (10.1099051 45.4671059)
CASORATE SEMPIONE,POINT (8.7448998 45.6626989)
CUMIGNANO SUL NAVIGLIO,POINT (9.835453 45.3476102)
CASORATE PRIMO,POINT (9.0127062 45.3030261)
ALBONESE,POINT (8.706428 45.2919932)
MAGASA,POINT (10.6335849 45.780606)
BARZIO,POINT (9.4962746 45.95346)
RODIGO,POINT (10.6342928 45.1923391)
CALCINATE,POINT (9.7880868 45.6213778)
POGGIO RUSCO,POINT (11.1524679 44.964033)
CERRO MAGGIORE,POINT (8.9640437 45.590232)
RONCADELLE,POINT (10.1474601 45.5336904)
GARZENO,POINT (9.1999358 46.128004)
CONFIENZA,POINT (8.5806336 45.3344917)
CALVENZANO,POINT (9.6014021 45.4894408)
LIPOMO,POINT (9.122235 45.7911133)
LASNIGO,POINT (9.2683566 45.8865455)
FIGINO SERENZA,POINT (9.1369062 45.7138396)
MONASTEROLO DEL CASTELLO,POINT (9.9382413 45.759253)
SAN FIORANO,POINT (9.7157139 45.1324117)
PEGOGNAGA,POINT (10.8598203 44.9998013)
GEROLA ALTA,POINT (9.5516043 46.0469693)
COLICO,POINT (9.3540042 46.1220425)
CAPPELLA DE' PICENARDI,POINT (10.2314062 45.1487143)
CAVENAGO D'ADDA,POINT (9.5949213 45.2802728)
VERTEMATE CON MINOPRIO,POINT (9.0778863 45.7281577)
LAZZATE,POINT (9.08128 45.6730702)
VALGOGLIO,POINT (9.8758692 45.9834066)
GAZOLDO DEGLI IPPOLITI,POINT (10.5664156 45.1951761)
VAL MASINO,POINT (9.6480585 46.2458422)
COSIO VALTELLINO,POINT (9.5273753 46.1208682)
CASEI GEROLA,POINT (8.9260033 45.0207719)
CARAVAGGIO,POINT (9.6538768 45.4859108)
JERAGO CON ORAGO,POINT (8.7928898 45.7080418)
UBOLDO,POINT (8.9935152 45.607425)
RANCO,POINT (8.5772734 45.799493)
SCALDASOLE,POINT (8.9016888 45.1322657)
CASTO,POINT (10.3083353 45.6932801)
BISUSCHIO,POINT (8.8700652 45.8808363)
ROBBIO,POINT (8.6110842 45.3039027)
NEMBRO,POINT (9.7566127 45.753435)
BONEMERSE,POINT (10.0935586 45.1060776)
PARZANICA,POINT (10.0429856 45.7381131)
GARDONE RIVIERA,POINT (10.5821023 45.6399111)
CARVICO,POINT (9.4944527 45.7065731)
FENEGRO',POINT (8.9985385 45.6957424)
SCANZOROSCIATE,POINT (9.761304 45.7136546)
MISSAGLIA,POINT (9.3456555 45.7020424)
VEDUGGIO CON COLZANO,POINT (9.2616468 45.7335731)
PAITONE,POINT (10.3981191 45.5696637)
OLTRESSENDA ALTA,POINT (9.9815328 45.9449732)
BRIONE,POINT (10.1556716 45.6402859)
PESSINA CREMONESE,POINT (10.2678342 45.1828598)
ARSAGO SEPRIO,POINT (8.7360435 45.698473)
ARCENE,POINT (9.6107808 45.5742111)
SAVIORE DELL'ADAMELLO,POINT (10.47709 46.1270693)
VIZZOLA TICINO,POINT (8.6840559 45.6255461)
MOTTEGGIANA,POINT (10.7563139 45.0309345)
ROVERBELLA,POINT (10.8223724 45.2662081)
MONTEGRINO VALTRAVAGLIA,POINT (8.7797706 45.9681617)
TORRE D'ISOLA,POINT (9.0722872 45.2211442)
CAPRALBA,POINT (9.639293 45.4296338)
ZELO BUON PERSICO,POINT (9.4370728 45.3948654)
FILAGO,POINT (9.5503537 45.6295264)
SORDIO,POINT (9.3723649 45.3390731)
COLOGNE,POINT (9.9296905 45.5778525)
ALSERIO,POINT (9.2014751 45.7807721)
VAL DI NIZZA,POINT (9.1746432 44.8710265)
VENIANO,POINT (8.9798332 45.7180998)
BRAONE,POINT (10.3763645 45.9698032)
CAMPARADA,POINT (9.3249148 45.6551788)
BERBENNO,POINT (9.5687157 45.8062429)
CALVIGNANO,POINT (9.1644035 44.984333)
INVERUNO,POINT (8.8544793 45.5178558)
TRENZANO,POINT (10.0027445 45.485041)
CAMPIONE D'ITALIA,POINT (8.9689506 45.9728911)
OLTRE IL COLLE,POINT (9.7788239 45.9120288)
COMUN NUOVO,POINT (9.6607212 45.6128043)
CUSIO,POINT (9.6014623 46.0002046)
MELETI,POINT (9.8274458 45.1316327)
PIAZZOLO,POINT (9.6736871 45.9727298)
FORMIGARA,POINT (9.7513697 45.2309789)
COLERE,POINT (10.0747159 45.9581386)
REZZAGO,POINT (9.2350884 45.8579257)
CHIGNOLO D'ISOLA,POINT (9.5286105 45.6644838)
REA,POINT (9.1563921 45.1173459)
MORAZZONE,POINT (8.8340531 45.7618176)
APPIANO GENTILE,POINT (8.9686301 45.7377579)
CANDIA LOMELLINA,POINT (8.5854335 45.1774039)
PIETRA DE' GIORGI,POINT (9.2440388 45.017798)
BUSSERO,POINT (9.3686043 45.5354726)
TREVISO BRESCIANO,POINT (10.4720199 45.7119519)
PRATA CAMPORTACCIO,POINT (9.4271227 46.2867321)
PIGRA,POINT (9.1251133 45.9655503)
OZZERO,POINT (8.9198867 45.3635033)
COLLI VERDI,POINT (9.2592887 44.9005621)
MALONNO,POINT (10.2962809 46.1254643)
TORNO,POINT (9.1273879 45.8512167)
ROSATE,POINT (9.0220779 45.3533288)
BRESSO,POINT (9.1947214 45.5365119)
TORRE DE' BUSI,POINT (9.4845102 45.7785956)
PONTIROLO NUOVO,POINT (9.5714514 45.5761494)
PONTERANICA,POINT (9.6695237 45.7432104)
CASSANO D'ADDA,POINT (9.5161293 45.5295357)
VERRETTO,POINT (9.108786 45.0395147)
PREVALLE,POINT (10.4195316 45.5443921)
COMABBIO,POINT (8.6783223 45.7754519)
SOSPIRO,POINT (10.1603845 45.1069334)
GRAVELLONA LOMELLINA,POINT (8.7769302 45.3378493)
PESSANO CON BORNAGO,POINT (9.3854001 45.5510571)
LAINATE,POINT (9.0256702 45.5647625)
TORNATA,POINT (10.4384286 45.1053309)
FARA GERA D'ADDA,POINT (9.5464417 45.5450719)
IZANO,POINT (9.7530744 45.3530362)
MEDE,POINT (8.7352924 45.0932166)
MUSCOLINE,POINT (10.4638583 45.5579518)
FINO DEL MONTE,POINT (9.9979033 45.9054245)
CRANDOLA VALSASSINA,POINT (9.4087203 46.0185882)
MARMENTINO,POINT (10.2927148 45.7576915)
BERZO INFERIORE,POINT (10.293762 45.8985293)
CASTELNUOVO BOCCA D'ADDA,POINT (9.8682119 45.1077394)
CERRO AL LAMBRO,POINT (9.3271917 45.3324488)
PAISCO LOVENO,POINT (10.2406488 46.0728684)
BARLASSINA,POINT (9.124757 45.6542012)
ROGNO,POINT (10.116999 45.8607943)
TAVERNERIO,POINT (9.1392434 45.812254)
NICORVO,POINT (8.6684452 45.283486)
ROSASCO,POINT (8.5619113 45.2541157)
BARBATA,POINT (9.7713797 45.4566279)
PANTIGLIATE,POINT (9.3596581 45.4412577)
CALCINATO,POINT (10.3996463 45.4523668)
BARBARIGA,POINT (10.0479538 45.4074071)
CASTIGLIONE D'ADDA,POINT (9.7030781 45.2248358)
BUGLIO IN MONTE,POINT (9.7063697 46.2160762)
VALMOREA,POINT (8.9335794 45.8174373)
MORNICO LOSANA,POINT (9.208101 45.0060819)
GIUSSAGO,POINT (9.153293 45.2783356)
BORGO SAN SIRO,POINT (8.9318696 45.2422938)
TALAMONA,POINT (9.6294397 46.1227268)
BIENNO,POINT (10.3619033 45.9063891)
LACCHIARELLA,POINT (9.1575849 45.3193722)
BRIVIO,POINT (9.4357897 45.7551845)
MONTEMEZZO,POINT (9.365493 46.1974458)
VAIANO CREMASCO,POINT (9.5927093 45.3724369)
VISTARINO,POINT (9.3089855 45.2088208)
LESMO,POINT (9.3056858 45.6463464)
PORTALBERA,POINT (9.3163702 45.0945301)
