"NOME_COM","sum_area","weighted_sum_Altitude","weighted_sum_WE_temp_2m","weighted_sum_WE_wind_speed_10m_mean","weighted_sum_WE_wind_speed_10m_max","weighted_sum_WE_tot_precipitation","weighted_sum_WE_precipitation_t","weighted_sum_WE_surface_pressure","weighted_sum_WE_solar_radiation","weighted_sum_WE_rh_min","weighted_sum_WE_rh_mean","weighted_sum_WE_rh_max","weighted_sum_WE_wind_speed_100m_mean","weighted_sum_WE_wind_speed_100m_max","weighted_sum_WE_blh_layer_max","weighted_sum_WE_blh_layer_min","weighted_sum_EM_nh3_livestock_mm","weighted_sum_EM_nh3_agr_soils","weighted_sum_EM_nh3_agr_waste_burn","weighted_sum_EM_nh3_sum","weighted_sum_EM_nox_traffic","weighted_sum_EM_nox_sum","weighted_sum_EM_so2_sum","weighted_sum_LI_pigs","weighted_sum_LI_bovine","weighted_sum_LA_hvi","weighted_sum_LA_lvi","weighted_sum_LA_land_use"
"TORRE DE` BUSI",9196785.66828596,402.73069532124,11.7887137197908,1.38828481324857,2.16284956665531,0.00407993871838744,0.333861708748423,96976.1685126545,11163783.0947158,60.619372569688,77.2576513066246,92.4248332914276,2.00351692443417,3.64167023606471,947.123506299533,28.5923072336973,1.83370617683236,1.24863746495797,0.0056038270959708,3.81346395826993,2.73364522095591,6.30687076546667,1.19772204803924,5.32550765811515,16.8526719773586,2.10842364812819,2.56558222680983,256.150207330743
"TORRE DE` NEGRI",4019722.07245555,64.306792678833,14.033593226776,1.75436666666667,2.8927349726776,0.0025983005636612,0.363387978142076,100646.93989071,11447480.6010929,56.8097267759563,74.9191256830601,90.8324043715847,2.82102459016393,5.04647267759563,1063.30573770492,48.4775683060109,5.73446174863388,7.20971530054645,0.182486459016393,13.2440546448087,0.972382240437158,2.13725136612022,0.519049453551913,446.62349726776,17.9195628415301,1.32755464480874,1.76710109289617,213
"TORRE DE` PICENARDI",34178918.3718863,34.7298011109373,14.2269132201308,1.69448932838946,2.86150365442327,0.00267865169107801,0.363341554422813,101176.939461415,11417682.5462317,56.9841511919474,75.3442656468388,91.5017531577752,2.88293862292537,5.13020556024858,1109.57842477212,49.0358980466099,16.3179468413656,7.23149388626867,0.185032457179713,23.8192794908817,1.1639896558749,2.14278371031921,0.198851609343915,244.630492662749,124.476859719374,2.01075985312526,2.24985042026624,211
"TORRE DE` ROVERI",2726443.87146076,432.813677571524,11.3598170858022,1.35335961354693,2.10593767631405,0.00386021790898651,0.319672131147541,96670.1234501819,11129880.8067016,61.9111581310247,78.3117672744396,92.5496642341935,1.90786616734362,3.48740882417226,935.213040704969,23.8738928860481,3.73284104149197,0.298627717498496,0.00297593099854066,4.92405188697728,2.54343603701661,10.3847836968508,5.76877177935023,25.0665468399275,25.3031836051675,2.16260196587078,2.57417273666001,274.508532277166
"TORRE DI SANTA MARIA",28194901.9077616,1620.85014907812,3.02971007341462,0.758646948241342,1.17852566414013,0.00419473071421463,1.14754098360656,81571.8734619793,8822747.08110314,58.7164049500013,76.0240707905923,90.7040202294944,1.73380428763991,2.75177920090919,953.556319294896,23.3865031770304,0.142713964203055,2.96612008686186,0,3.15581573212915,0.290732416058011,0.498443003549573,0.0613412321891993,0.203502116461986,2.43204145127519,4.4950717954729,1.47517000767233,312
"TORRE D`ARESE",4376583.14195766,76.5291374206543,13.8257154617486,1.6416868852459,2.73894617486339,0.00275485060819672,0.363387978142077,100499.726775956,11322194.2622951,56.9984426229508,75.1086612021858,90.9836338797814,2.83407076502732,5.09995355191257,1058.92759562842,46.6281420765027,11.336393442623,6.66514590163934,0.166270871584699,18.4101639344262,1.8592349726776,3.15080601092896,0.743195355191257,551.296721311475,60.0530327868852,1.23007923497268,1.94927049180328,211
"TORRE D`ISOLA",16422830.185853,83.5974261806416,13.9062573455037,1.76009179214835,2.9514300908396,0.00293049541932023,0.317759201208086,100630.759899222,11374737.0360962,56.089414494481,74.6721401728257,91.1261562722323,2.9248682715866,5.32660530424833,1065.52743862504,46.4832557897075,3.86774453592784,7.10468445537832,0.197442122718121,11.3773408163743,3.45017759149451,4.47340253026838,0.318737717953765,55.6002525172138,38.046790988974,1.04815048241743,1.50070009179147,213
"TORRE PALLAVICINA",10246725.0846265,96.5831287384033,13.2761683060109,1.39459699453552,2.31437158469945,0.00297444812677596,0.319672131147541,99747.8961748634,11164145.9016393,58.6160655737705,76.0140983606557,91.4865573770492,2.39396229508197,4.35381420765027,1007.4456284153,34.3970218579235,48.5020765027322,7.2162587431694,0.168225297814208,56.0823770491803,1.71467486338798,3.52389344262295,0.374170491803279,1428.04098360656,265.139890710383,1.82594808743169,2.63448633879781,211
"TORREVECCHIA PIA",16496569.0511541,79.9679385733981,13.8243613562368,1.65341403668621,2.75798002861011,0.00281043110293805,0.344546808047138,100518.795722155,11312342.0856813,56.7590399907819,75.0999133555058,91.062455534536,2.86034926176336,5.15892573138635,1062.44598592192,47.129608777525,9.72168699860858,6.82051499232799,0.192876906356353,16.9612106980169,1.72017910592422,2.99566305389769,0.518861364190426,405.880155872045,60.6471181086023,0.912984535867673,1.69224916199962,212.228457589992
"TORRICELLA DEL PIZZO",24119458.1285744,28.6566512490474,14.1945637323011,1.70343405065625,2.88838885063372,0.00256863272575272,0.34826122497949,101070.976664376,11549541.8058523,56.4570556503054,74.8204680484831,91.0632243558028,2.93135595921058,5.19758542974905,1122.00910011052,50.2159301467386,10.2275083001624,6.08260684354798,0.156208822911235,16.540975213512,0.908636868945835,1.96595272658827,0.436391720282723,196.101613722317,54.5509110060479,2.25409892616858,1.90455873671946,211
"TORRICELLA VERZATE",3552860.14470798,87.752915687561,13.8824701639344,1.61290109289617,2.72285491803279,0.00237530610765027,0.352459016393443,99930.6284153005,11363432.2404372,55.6344808743169,73.6629781420765,90.0054644808743,2.82050491803279,4.95532240437159,1064.83606557377,53.6705191256831,1.65092978142077,6.35689836065574,0.172924019125683,8.41898907103825,4.01031420765027,5.17044262295082,0.43882349726776,23.5782240437158,29.4888524590164,2.31466120218579,1.66982240437158,211
